Open time,Open,Close,High,Low,Volume,Amount
43090,16000000003,16000000003,16000000003,16000000003,7796581,124745296023
43090,16666000009,16666000009,16666000009,16666000009,1014,1689932401
43090,16666000009,172000,172000,16666000009,620728,10382646453
43090,16666000009,16666000009,16666000009,16666000009,806026,13433229323
43090,172000,172000,172000,172000,9149629,1573736188
43090,16666000009,167000,167000,16666000009,503048,8384037332
43090,172000,172000,172000,172000,7240998,1245451656
43090,172000,172000,172000,172000,3,5160
43090,169010,169010,169010,169010,1924702,32529388502
43090,169010,169010,169010,169010,48003,811298703
43090,169010,169010,169010,169010,346609,5858038709
43090,167500,167500,167500,167500,93683,156919025
43090,16675000001,16675000001,16675000001,16675000001,3933915,65598032629
43090,16675000001,166760,166760,16650000001,3449836,57469419881
43090,17178999998,17178999998,17178999998,17178999998,863999,14842638819
43090,15901000006,15901000006,15901000006,15901000006,3233212,51411304031
43090,15901000006,15901000006,15901000006,15901000006,332,5279132002
43090,15901000006,15901000006,15901000006,15901000006,1329039,21133049147
43090,15901000006,16000000001,16000000001,15901000006,11342895,181468644153
43090,16000000001,16000000001,16000000001,16000000001,11353928,181662848011
43090,16000000001,16000000001,16000000001,16000000001,3012101,48193616002
43090,16000000001,16000000001,16000000001,16000000001,417,66720000004
43090,16000000001,16000000001,16000000001,160000,295952,47352320003
43090,160000,160000,160000,160000,88208,1411328
43090,160000,160000,160000,160000,5834806,93356896
43090,160000,16000000001,16000000001,160000,3090599,49449584
43090,16000000001,16000000001,16000000001,16000000001,631425,10102800001
43090,15901000002,15901000002,160000,15901000002,6703356,106590545505
43090,15901000002,15901000002,15901000002,15901000002,977174,15538043776
43090,15901000002,15901000002,15901000002,15901000002,2049533,32589624238
43090,16000000001,16000000001,16000000001,16000000001,2902978,46447648003
43090,16000000001,16000000001,16000000001,16000000001,3035065,48561040004
43090,16000000001,16000000001,16000000001,16000000001,487424,7798784
43090,165000,165000,165000,165000,148612,2452098
43090,16500000001,16500000001,16500000001,16500000001,291997,48179505
43090,16500000001,16500000001,16500000001,16500000001,490908,8099982
43090,16500000001,16500000001,16500000001,16500000001,80908,1334982
43090,16500000001,16500000001,16500000001,16500000001,278482,45949530004
43090,16500000001,172000,172000,16500000001,875504,14495096001
43090,16500000001,16500000001,16500000001,16500000001,834461,13768606501
43090,165000,16500000001,16500000001,165000,31777564,524329806023
43090,172000,172000,172000,172000,84432,14522304
43090,15901000002,15901000002,15901000002,15901000002,1,15901
43090,16000000001,16000000001,16000000001,16000000001,453051,7248816
43090,160010,16001000001,16001000001,160010,835974,13376419974
43090,16949999999,16949999999,16949999999,16949999999,4650832,78831602395
43090,16001000001,16001000001,16001000001,16001000001,1,16001000001
43090,168900,168900,168900,168900,58295,98460255
43090,16889999999,16889999999,16889999999,16889999999,582186,98331215395
43090,16889999999,16889999999,16889999999,16889999999,2,33779999998
43090,16949999998,16949999998,16949999998,16949999998,471501,7991941949
43090,16887999992,16887999992,16887999992,16887999992,174543,2947682183
43090,16777777774,16777777774,16777777774,16777777774,336221,5641041221
43090,16777777772,16777777772,16777777772,16777777772,17732548,297512749675
43090,16888999997,16888999997,16888999997,16888999997,9017703,15229998594
43090,167770,168890,168890,167770,26637065,44986513991
43090,168890,168890,168890,168890,31858,538049762
43090,168890,168890,168890,168890,000645,10893405
43090,15406984594,15406984594,15406984594,15406984594,704,1084651715
43090,16949999993,16949999993,16949999993,16949999993,1119825,18981033742
