Open time,Open,Close,High,Low,Volume,Amount,Cluster
43090,16000000003,16000000003,16000000003,16000000003,7796581.0,124745296023,1
43090,16666000009,16666000009,16666000009,16666000009,1014.0,1689932401,1
43090,16666000009,172000,172000,16666000009,620728.0,10382646453,1
43090,16666000009,16666000009,16666000009,16666000009,806026.0,13433229323,1
43090,172000,172000,172000,172000,9149629.0,1573736188,0
43090,16666000009,167000,167000,16666000009,503048.0,8384037332,1
43090,172000,172000,172000,172000,7240998.0,1245451656,0
43090,172000,172000,172000,172000,3.0,5160,0
43090,169010,169010,169010,169010,1924702.0,32529388502,0
43090,169010,169010,169010,169010,48003.0,811298703,0
43090,169010,169010,169010,169010,346609.0,5858038709,0
43090,167500,167500,167500,167500,93683.0,156919025,0
43090,16675000001,16675000001,16675000001,16675000001,3933915.0,65598032629,1
43090,16675000001,166760,166760,16650000001,3449836.0,57469419881,1
43090,17178999998,17178999998,17178999998,17178999998,863999.0,14842638819,1
43090,15901000006,15901000006,15901000006,15901000006,3233212.0,51411304031,1
43090,15901000006,15901000006,15901000006,15901000006,332.0,5279132002,1
43090,15901000006,15901000006,15901000006,15901000006,1329039.0,21133049147,1
43090,15901000006,16000000001,16000000001,15901000006,11342895.0,181468644153,1
43090,16000000001,16000000001,16000000001,16000000001,11353928.0,181662848011,1
43090,16000000001,16000000001,16000000001,16000000001,3012101.0,48193616002,1
43090,16000000001,16000000001,16000000001,16000000001,417.0,66720000004,1
43090,16000000001,16000000001,16000000001,160000,295952.0,47352320003,1
43090,160000,160000,160000,160000,88208.0,1411328,0
43090,160000,160000,160000,160000,5834806.0,93356896,0
43090,160000,16000000001,16000000001,160000,3090599.0,49449584,1
43090,16000000001,16000000001,16000000001,16000000001,631425.0,10102800001,1
43090,15901000002,15901000002,160000,15901000002,6703356.0,106590545505,1
43090,15901000002,15901000002,15901000002,15901000002,977174.0,15538043776,1
43090,15901000002,15901000002,15901000002,15901000002,2049533.0,32589624238,1
43090,16000000001,16000000001,16000000001,16000000001,2902978.0,46447648003,1
43090,16000000001,16000000001,16000000001,16000000001,3035065.0,48561040004,1
43090,16000000001,16000000001,16000000001,16000000001,487424.0,7798784,1
43090,165000,165000,165000,165000,148612.0,2452098,0
43090,16500000001,16500000001,16500000001,16500000001,291997.0,48179505,1
43090,16500000001,16500000001,16500000001,16500000001,490908.0,8099982,1
43090,16500000001,16500000001,16500000001,16500000001,80908.0,1334982,1
43090,16500000001,16500000001,16500000001,16500000001,278482.0,45949530004,1
43090,16500000001,172000,172000,16500000001,875504.0,14495096001,1
43090,16500000001,16500000001,16500000001,16500000001,834461.0,13768606501,1
43090,165000,16500000001,16500000001,165000,31777564.0,524329806023,2
43090,172000,172000,172000,172000,84432.0,14522304,0
43090,15901000002,15901000002,15901000002,15901000002,1.0,15901,1
43090,16000000001,16000000001,16000000001,16000000001,453051.0,7248816,1
43090,160010,16001000001,16001000001,160010,835974.0,13376419974,1
43090,16949999999,16949999999,16949999999,16949999999,4650832.0,78831602395,1
43090,16001000001,16001000001,16001000001,16001000001,1.0,16001000001,1
43090,168900,168900,168900,168900,58295.0,98460255,0
43090,16889999999,16889999999,16889999999,16889999999,582186.0,98331215395,1
43090,16889999999,16889999999,16889999999,16889999999,2.0,33779999998,1
43090,16949999998,16949999998,16949999998,16949999998,471501.0,7991941949,1
43090,16887999992,16887999992,16887999992,16887999992,174543.0,2947682183,1
43090,16777777774,16777777774,16777777774,16777777774,336221.0,5641041221,1
43090,16777777772,16777777772,16777777772,16777777772,17732548.0,297512749675,1
43090,16888999997,16888999997,16888999997,16888999997,9017703.0,15229998594,1
43090,167770,168890,168890,167770,26637065.0,44986513991,0
43090,168890,168890,168890,168890,31858.0,538049762,0
43090,168890,168890,168890,168890,645.0,10893405,0
43090,15406984594,15406984594,15406984594,15406984594,704.0,1084651715,1
43090,16949999993,16949999993,16949999993,16949999993,1119825.0,18981033742,1
43090,16949999993,16949999993,16949999993,16949999993,1095117.0,18562233142,1
43090,15407984593,15407984593,15407984593,15407984593,297716.0,4587203541,1
43090,16948999993,16948999993,16948999993,16948999993,676892.0,114726425032,1
43090,16948999991,16948999989,16948999991,16948999989,85119.0,1442681931,1
43090,16948999979,16948999979,16948999979,16948999979,251203.0,4257639642,1
43090,154090,154090,154090,154090,271935.0,4190246415,0
43090,16948999975,16948999975,16948999975,16948999975,5.0,84744999875,1
43090,16178999985,16178999985,16178999985,16178999985,2651835.0,42904038425,1
43090,16179499984,16179499984,16179499984,16179499984,2455804.0,39733680779,1
43090,16179499983,16179499983,16179499983,16179499983,2354513.0,38094843043,1
43090,167820,163450,167820,161760,11126369.0,183022164105,0
43090,16175999998,16175999998,16175999998,16175999998,609697.0,9862458671,1
43090,160860,160860,160860,160860,18393.0,295869798,0
43090,16085999999,16085999999,16085999999,16085999999,21.0,33780599998,1
43090,16781999998,16781999998,16781999998,16781999998,609757.0,10232941973,1
43090,16780999993,16780999993,16780999993,16780999993,29795.0,499989895,1
43090,16086000001,16086000001,16086000001,16086000001,3475094.0,55900362087,1
43090,16781999998,16781999998,16781999998,16781999998,498.0,8357435999,1
43090,167820,167820,167820,167820,5477425.0,9192214635,0
43090,167820,167820,167820,167820,13877895.0,23289883389,0
43090,167820,167820,167820,167820,9325694.0,156503796708,0
43090,16467169392,16949999999,16949999999,16467169392,4712613.0,79844735819,1
43090,16949999999,16949999999,16949999999,16949999999,144.0,244079999985,1
43090,16949999999,16949999999,17007984593,16949999999,8357404.0,141658576419,1
43090,16949999999,16949999999,16949999999,16949999999,1298493.0,22009456349,1
43091,16933049998,16933049998,16933049998,16933049998,225.0,38099362496,1
43091,16933049998,16933049998,16933049998,16933049998,1.0,16933049998,1
43091,16933049998,16933049998,16933049998,16933049998,2784839.0,47155818024,1
43091,16933049998,16933049998,16933049998,16933049998,1950462.0,33027270566,1
43091,16933049998,16933049998,16933049998,16933049998,225.0,38099362496,1
43091,16933049999,17007984593,17007984593,16933049999,489372.0,8304420305,1
